date,commits,authors
2013-09-05,1,1
2013-09-06,3,1
2013-09-09,6,1
2013-09-10,2,1
2013-09-11,1,1
2013-09-12,1,1
2013-09-13,3,3
2013-09-16,1,1
2013-09-17,1,1
2013-09-18,1,1
2013-09-24,2,1
2013-09-26,2,1
2013-10-01,2,2
2013-10-02,6,1
2013-10-03,1,1
2013-10-04,2,1
2013-10-07,1,1
2013-10-08,2,1
2013-10-09,4,3
2013-10-10,2,2
2013-10-11,2,1
2013-10-15,3,1
2013-10-16,2,2
2013-10-20,8,1
2013-10-21,14,1
2013-10-23,3,1
2013-10-24,1,1
2013-10-25,1,1
2013-10-30,3,2
2013-10-31,1,1
2013-11-04,4,2
2013-11-06,2,1
2013-11-07,2,1
2013-11-12,2,2
2013-11-14,6,2
2013-11-15,1,1
2013-11-20,4,2
2013-11-21,4,2
2013-11-22,4,4
2013-11-25,1,1
2013-11-27,3,3
2013-11-28,2,1
2013-11-29,3,2
2013-12-02,1,1
2013-12-04,5,2
2013-12-05,7,3
2013-12-06,5,2
2013-12-09,8,2
2013-12-10,1,1
2013-12-11,3,2
2013-12-12,15,2
2013-12-16,4,3
2013-12-17,5,3
2013-12-19,2,1
2013-12-20,9,2
2013-12-23,7,1
2013-12-24,9,1
2013-12-26,2,2
2013-12-27,1,1
2013-12-28,6,1
2013-12-30,1,1
2013-12-31,3,1
2014-01-03,2,1
2014-01-08,1,1
2014-01-10,1,1
2014-01-13,3,2
2014-01-14,3,2
2014-01-15,1,1
2014-01-16,4,2
2014-01-17,1,1
2014-01-20,4,2
2014-01-21,9,2
2014-01-22,5,3
2014-01-23,3,3
2014-01-24,3,3
2014-01-26,2,1
2014-01-27,5,3
2014-01-28,3,1
2014-01-29,3,2
2014-01-30,2,2
2014-01-31,13,4
2014-02-03,5,4
2014-02-04,3,2
2014-02-05,1,1
2014-02-06,1,1
2014-02-07,1,1
2014-02-10,1,1
2014-02-11,1,1
2014-02-12,2,2
2014-02-17,1,1
2014-02-18,5,3
2014-02-19,7,3
2014-02-20,3,3
2014-02-21,7,2
2014-02-24,7,3
2014-02-25,7,3
2014-02-26,2,2
2014-02-27,2,2
2014-02-28,5,3
2014-03-03,9,3
2014-03-04,2,2
2014-03-05,1,1
2014-03-06,4,2
2014-03-07,1,1
2014-03-10,3,1
2014-03-11,3,3
2014-03-12,2,1
2014-03-13,8,3
2014-03-17,1,1
2014-03-18,4,2
2014-03-19,3,2
2014-03-20,3,1
2014-03-21,1,1
2014-03-24,8,2
2014-03-25,1,1
2014-03-26,5,2
2014-03-27,3,2
2014-03-28,3,3
2014-03-30,1,1
2014-03-31,3,3
2014-04-01,7,3
2014-04-02,1,1
2014-04-03,7,3
2014-04-04,6,3
2014-04-07,1,1
2014-04-08,11,2
2014-04-09,2,1
2014-04-10,4,2
2014-04-11,7,2
2014-04-14,8,1
2014-04-15,10,2
2014-04-16,6,2
2014-04-17,2,2
2014-04-22,7,1
2014-04-23,2,1
2014-04-24,3,1
2014-04-28,1,1
2014-04-29,5,2
2014-04-30,4,1
2014-05-02,1,1
2014-05-05,8,4
2014-05-06,3,3
2014-05-07,1,1
2014-05-09,1,1
2014-05-12,3,2
2014-05-14,4,2
2014-05-15,4,3
2014-05-16,4,2
2014-05-19,8,3
2014-05-20,2,2
2014-05-21,3,3
2014-05-22,4,2
2014-05-23,5,3
2014-05-26,10,2
2014-05-27,6,2
2014-05-28,10,3
2014-06-02,7,2
2014-06-03,10,3
2014-06-04,1,1
2014-06-05,1,1
2014-06-10,2,2
2014-06-11,2,2
2014-06-12,6,2
2014-06-16,4,4
2014-06-17,2,2
2014-06-18,1,1
2014-06-19,1,1
2014-06-24,1,1
2014-06-25,3,3
2014-06-26,3,2
2014-06-27,5,3
2014-07-02,4,1
2014-07-03,2,1
2014-07-04,1,1
2014-07-08,6,2
2014-07-09,1,1
2014-07-10,3,2
2014-07-16,5,2
2014-07-17,1,1
2014-07-21,1,1
2014-07-22,1,1
2014-07-23,1,1
2014-07-24,2,2
2014-07-25,2,1
2014-07-28,2,2
2014-07-29,1,1
2014-07-30,1,1
2014-07-31,4,3
2014-08-05,6,3
2014-08-06,3,2
2014-08-07,6,2
2014-08-08,5,3
2014-08-11,1,1
2014-08-12,6,1
2014-08-13,4,3
2014-08-14,7,4
2014-08-17,3,1
2014-08-18,2,2
2014-08-20,4,4
2014-08-21,2,2
2014-08-22,4,3
2014-08-25,8,5
2014-08-26,4,4
2014-08-27,12,5
2014-08-28,4,4
2014-08-29,10,7
2014-09-01,7,5
2014-09-02,4,3
2014-09-03,2,2
2014-09-04,5,4
2014-09-05,5,3
2014-09-06,3,1
2014-09-08,3,3
2014-09-09,6,6
2014-09-10,3,3
2014-09-11,6,4
2014-09-12,5,3
2014-09-15,4,3
2014-09-16,4,3
2014-09-17,3,3
2014-09-18,10,6
2014-09-19,5,5
2014-09-22,4,4
2014-09-23,8,4
2014-09-24,4,3
2014-09-25,5,4
2014-09-26,4,3
2014-09-29,7,1
2014-09-30,6,4
2014-10-01,8,5
2014-10-02,11,4
2014-10-03,8,5
2014-10-06,8,2
2014-10-07,5,3
2014-10-08,5,1
2014-10-09,2,2
2014-10-10,1,1
2014-10-13,6,3
2014-10-14,8,5
2014-10-15,5,3
2014-10-16,8,5
2014-10-17,5,4
2014-10-20,12,3
2014-10-21,10,4
2014-10-22,8,6
2014-10-23,6,4
2014-10-24,11,3
2014-10-27,1,1
2014-10-28,2,2
2014-10-29,5,3
2014-10-30,2,2
2014-10-31,3,2
2014-11-03,3,3
2014-11-04,3,2
2014-11-05,1,1
2014-11-06,2,2
2014-11-07,5,2
2014-11-10,1,1
2014-11-12,1,1
2014-11-13,5,3
2014-11-14,3,1
2014-11-17,7,2
2014-11-18,2,2
2014-11-19,3,2
2014-11-20,6,5
2014-11-21,4,3
2014-11-24,6,5
2014-11-25,2,2
2014-11-26,11,8
2014-11-27,3,3
2014-11-28,4,2
2014-12-01,5,3
2014-12-02,4,4
2014-12-03,5,3
2014-12-04,2,2
2014-12-05,8,5
2014-12-08,1,1
2014-12-09,2,2
2014-12-10,9,3
2014-12-11,3,2
2014-12-12,8,5
2014-12-15,1,1
2014-12-16,1,1
2014-12-17,2,1
2014-12-18,1,1
2014-12-19,6,3
2014-12-22,4,3
2014-12-23,3,3
2014-12-24,1,1
2014-12-29,2,2
2014-12-30,4,2
2014-12-31,1,1
2015-01-05,6,4
2015-01-06,4,3
2015-01-07,4,2
2015-01-08,3,3
2015-01-09,3,2
2015-01-12,8,6
2015-01-13,13,3
2015-01-14,14,2
2015-01-15,14,5
2015-01-16,12,6
2015-01-18,1,1
2015-01-19,5,5
2015-01-20,4,3
2015-01-21,5,4
2015-01-22,1,1
2015-01-23,1,1
2015-01-26,3,2
2015-01-27,4,4
2015-01-28,2,2
2015-01-29,10,3
2015-01-30,6,3
2015-02-03,2,2
2015-02-04,6,4
2015-02-06,3,3
2015-02-09,7,3
2015-02-10,11,4
2015-02-11,3,2
2015-02-12,4,3
2015-02-13,1,1
2015-02-16,2,2
2015-02-17,6,3
2015-02-18,5,2
2015-02-19,4,4
2015-02-20,6,3
2015-02-23,6,4
2015-02-24,10,3
2015-02-25,9,5
2015-02-26,8,6
2015-02-27,3,1
2015-03-02,6,4
2015-03-03,3,2
2015-03-04,5,4
2015-03-05,6,4
2015-03-06,8,5
2015-03-08,1,1
2015-03-09,6,3
2015-03-10,1,1
2015-03-11,9,4
2015-03-12,1,1
2015-03-13,12,4
2015-03-16,6,2
2015-03-17,10,3
2015-03-18,8,4
2015-03-19,5,3
2015-03-20,13,7
2015-03-23,5,4
2015-03-24,9,5
2015-03-25,10,5
2015-03-26,7,5
2015-03-27,13,6
2015-03-30,13,8
2015-03-31,6,4
2015-04-01,8,4
2015-04-02,2,2
2015-04-03,1,1
2015-04-05,4,1
2015-04-07,2,2
2015-04-08,6,4
2015-04-09,6,3
2015-04-10,12,3
2015-04-13,3,3
2015-04-14,3,2
2015-04-15,1,1
2015-04-16,2,1
2015-04-17,13,2
2015-04-20,2,1
2015-04-21,2,2
2015-04-22,3,2
2015-04-23,4,3
2015-04-24,7,1
2015-04-27,7,4
2015-04-28,3,2
2015-04-29,7,3
2015-04-30,12,6
2015-05-04,8,5
2015-05-05,14,6
2015-05-06,7,6
2015-05-07,6,5
2015-05-11,4,2
2015-05-12,4,3
2015-05-13,9,4
2015-05-14,2,1
2015-05-18,4,3
2015-05-19,6,5
2015-05-20,8,5
2015-05-21,6,4
2015-05-22,4,3
2015-05-26,12,5
2015-05-27,6,3
2015-05-28,4,3
2015-05-29,2,2
2015-06-01,6,3
2015-06-02,2,2
2015-06-03,3,2
2015-06-04,1,1
2015-06-05,2,1
2015-06-08,7,4
2015-06-10,4,4
2015-06-11,1,1
2015-06-12,5,2
2015-06-15,6,3
2015-06-16,1,1
2015-06-17,2,2
2015-06-18,1,1
2015-06-22,4,3
2015-06-23,1,1
2015-06-24,2,1
2015-06-25,4,3
2015-06-26,1,1
2015-06-29,2,1
2015-06-30,6,3
2015-07-01,2,2
2015-07-02,4,2
2015-07-06,2,2
2015-07-07,3,2
2015-07-08,3,2
2015-07-09,6,2
2015-07-10,8,4
2015-07-13,1,1
2015-07-16,7,2
2015-07-17,3,1
2015-07-20,1,1
2015-07-21,1,1
2015-07-22,1,1
2015-07-23,2,1
2015-07-24,2,2
2015-07-27,2,2
2015-07-28,2,2
2015-07-29,1,1
2015-07-30,1,1
2015-08-03,2,1
2015-08-04,3,2
2015-08-05,5,3
2015-08-06,4,2
2015-08-07,2,2
2015-08-08,1,1
2015-08-10,5,3
2015-08-11,2,2
2015-08-12,3,2
2015-08-13,6,4
2015-08-14,1,1
2015-08-17,5,3
2015-08-18,6,3
2015-08-19,1,1
2015-08-20,12,4
2015-08-21,8,4
2015-08-24,8,4
2015-08-25,7,5
2015-08-26,7,4
2015-08-27,6,4
2015-08-28,4,4
2015-08-31,5,5
2015-09-01,10,5
2015-09-02,5,4
2015-09-03,4,4
2015-09-04,6,3
2015-09-07,5,3
2015-09-08,1,1
2015-09-09,5,4
2015-09-10,1,1
2015-09-11,9,5
2015-09-14,3,2
2015-09-15,3,3
2015-09-16,1,1
2015-09-17,8,3
2015-09-18,7,1
2015-09-19,1,1
2015-09-20,1,1
2015-09-21,5,2
2015-09-22,5,3
2015-09-23,1,1
2015-09-24,7,3
2015-09-28,6,3
2015-09-29,4,2
2015-09-30,3,2
2015-10-01,5,3
2015-10-02,2,1
2015-10-05,2,1
2015-10-06,1,1
2015-10-07,1,1
2015-10-08,1,1
2015-10-09,3,2
2015-10-12,8,3
2015-10-13,4,2
2015-10-14,7,3
2015-10-15,1,1
2015-10-19,4,2
2015-10-20,1,1
2015-10-21,4,3
2015-10-22,2,1
2015-10-26,1,1
2015-10-27,4,1
2015-10-28,3,2
2015-10-29,2,2
2015-10-30,2,2
2015-11-02,2,2
2015-11-03,1,1
2015-11-04,4,3
2015-11-05,1,1
2015-11-06,2,2
2015-11-09,3,2
2015-11-10,6,3
2015-11-12,5,3
2015-11-13,2,1
2015-11-16,6,2
2015-11-17,2,1
2015-11-18,5,3
2015-11-19,2,1
2015-11-20,5,1
2015-11-24,3,1
2015-11-25,4,2
2015-11-26,13,4
2015-11-27,5,2
2015-11-30,3,2
2015-12-01,2,2
2015-12-03,1,1
2015-12-04,7,2
2015-12-07,3,1
2015-12-08,4,3
2015-12-09,3,2
2015-12-10,1,1
2015-12-11,1,1
2015-12-14,2,2
2015-12-15,5,2
2015-12-16,1,1
2015-12-17,2,1
2015-12-21,1,1
2015-12-23,3,2
2015-12-28,4,1
2015-12-29,1,1
2016-01-04,1,1
2016-01-05,4,3
2016-01-07,1,1
2016-01-08,6,3
2016-01-09,1,1
2016-01-10,19,1
2016-01-11,14,2
2016-01-12,5,2
2016-01-13,6,1
2016-01-14,1,1
2016-01-15,3,2
2016-01-18,5,3
2016-01-19,2,2
2016-01-20,1,1
2016-01-21,4,4
2016-01-22,4,3
2016-01-25,3,2
2016-01-26,4,4
2016-01-27,3,2
2016-01-28,6,6
2016-01-29,5,3
2016-02-01,5,2
2016-02-02,12,5
2016-02-03,1,1
2016-02-04,7,2
2016-02-05,1,1
2016-02-08,9,2
2016-02-10,2,1
2016-02-11,8,5
2016-02-12,4,3
2016-02-13,1,1
2016-02-15,3,2
2016-02-16,3,2
2016-02-18,4,3
2016-02-19,3,3
2016-02-22,4,3
2016-02-23,5,4
2016-02-24,1,1
2016-02-25,4,1
2016-02-26,5,2
2016-02-29,3,2
2016-03-01,1,1
2016-03-03,4,1
2016-03-04,3,2
2016-03-07,2,1
2016-03-08,3,2
2016-03-09,4,2
2016-03-10,4,2
2016-03-11,2,1
2016-03-15,1,1
2016-03-17,1,1
2016-03-18,1,1
2016-03-19,8,1
2016-03-21,4,2
2016-03-22,1,1
2016-03-23,4,2
2016-03-24,3,1
2016-03-25,9,5
2016-03-29,4,3
2016-03-30,6,3
2016-03-31,8,3
2016-04-01,4,4
2016-04-04,1,1
2016-04-05,4,3
2016-04-06,2,2
2016-04-07,4,4
2016-04-08,4,3
2016-04-11,4,2
2016-04-12,2,2
2016-04-13,2,2
2016-04-14,5,4
2016-04-15,4,3
2016-04-18,4,2
2016-04-19,7,5
2016-04-21,2,2
2016-04-22,5,2
2016-04-25,5,5
2016-04-26,3,2
2016-04-27,3,2
2016-04-28,6,3
2016-04-29,6,3
2016-05-03,7,4
2016-05-04,7,3
2016-05-09,4,4
2016-05-10,5,1
2016-05-11,4,2
2016-05-12,9,2
2016-05-13,3,1
2016-05-17,4,2
2016-05-18,4,3
2016-05-19,7,2
2016-05-20,7,4
2016-05-23,1,1
2016-05-24,7,2
2016-05-25,4,2
2016-05-26,5,1
2016-05-27,3,2
2016-05-30,4,2
2016-05-31,4,2
2016-06-01,2,2
2016-06-02,1,1
2016-06-03,1,1
2016-06-07,6,3
2016-06-08,3,2
2016-06-09,9,3
2016-06-10,3,2
2016-06-12,2,1
2016-06-13,5,3
2016-06-14,4,3
2016-06-15,2,2
2016-06-16,5,3
2016-06-17,6,3
2016-06-20,2,2
2016-06-21,2,2
2016-06-22,3,2
2016-06-24,4,4
2016-06-28,12,2
2016-06-29,1,1
2016-06-30,4,1
2016-07-01,2,1
2016-07-05,4,4
2016-07-06,2,2
2016-07-07,4,1
2016-07-08,3,2
2016-07-11,1,1
2016-07-18,1,1
2016-07-19,2,1
2016-07-20,4,3
2016-07-21,2,2
2016-07-22,5,2
2016-07-25,3,2
2016-07-26,3,3
2016-07-27,2,2
2016-07-29,2,2
2016-08-01,3,2
2016-08-02,7,3
2016-08-03,6,3
2016-08-04,4,4
2016-08-05,2,2
2016-08-09,3,1
2016-08-10,2,2
2016-08-11,9,3
2016-08-12,6,2
2016-08-16,5,3
2016-08-17,5,3
2016-08-18,5,2
2016-08-19,1,1
2016-08-22,2,2
2016-08-23,5,3
2016-08-24,5,3
2016-08-25,3,2
2016-08-26,1,1
2016-08-29,2,2
2016-08-30,2,2
2016-08-31,1,1
2016-09-01,9,4
2016-09-02,1,1
2016-09-03,1,1
2016-09-04,1,1
2016-09-05,3,1
2016-09-06,1,1
2016-09-07,2,2
2016-09-08,6,2
2016-09-09,1,1
2016-09-12,3,2
2016-09-14,1,1
2016-09-15,5,2
2016-09-16,1,1
2016-09-19,3,3
2016-09-20,4,2
2016-09-21,9,5
2016-09-22,1,1
2016-09-23,4,4
2016-09-26,4,4
2016-09-27,2,2
2016-09-28,1,1
2016-09-29,1,1
2016-09-30,2,1
2016-10-02,1,1
2016-10-03,3,2
2016-10-04,5,3
2016-10-05,6,2
2016-10-06,7,1
2016-10-07,4,1
2016-10-10,1,1
2016-10-11,3,2
2016-10-12,1,1
2016-10-13,5,2
2016-10-14,1,1
2016-10-17,1,1
2016-10-18,5,2
2016-10-19,3,3
2016-10-20,5,3
2016-10-21,6,4
2016-10-24,2,1
2016-10-25,5,4
2016-10-26,6,3
2016-10-27,1,1
2016-10-28,2,1
2016-10-31,2,1
2016-11-02,3,3
2016-11-04,1,1
2016-11-06,2,1
2016-11-07,2,1
2016-11-08,6,2
2016-11-15,1,1
2016-11-21,2,2
2016-11-22,1,1
2016-11-23,4,2
2016-11-24,3,3
2016-11-25,4,3
2016-11-27,2,1
2016-11-28,2,1
2016-11-29,2,1
2016-11-30,3,2
2016-12-01,1,1
2016-12-02,3,2
2016-12-05,4,3
2016-12-07,1,1
2016-12-09,5,2
2016-12-11,1,1
2016-12-12,1,1
2016-12-14,1,1
2016-12-15,1,1
2016-12-16,1,1
2016-12-20,2,1
2016-12-21,4,3
2016-12-22,2,2
2016-12-29,3,2
2016-12-30,1,1
2017-01-02,2,1
2017-01-03,3,2
2017-01-04,7,2
2017-01-05,4,2
2017-01-06,2,2
2017-01-08,4,1
2017-01-09,7,3
2017-01-10,7,3
2017-01-11,5,4
2017-01-12,2,2
2017-01-13,3,1
2017-01-16,6,3
2017-01-18,11,3
2017-01-19,5,1
2017-01-20,4,3
2017-01-23,1,1
2017-01-24,4,2
2017-01-25,2,2
2017-01-26,2,1
2017-01-27,5,4
2017-01-30,1,1
2017-01-31,1,1
2017-02-01,1,1
2017-02-02,3,2
2017-02-07,3,3
2017-02-08,1,1
2017-02-09,3,2
2017-02-10,4,3
2017-02-13,1,1
2017-02-14,2,2
2017-02-15,3,2
2017-02-16,5,4
2017-02-17,3,2
2017-02-20,1,1
2017-02-21,1,1
2017-02-22,11,4
2017-02-23,3,2
2017-02-28,3,2
2017-03-01,2,2
2017-03-02,1,1
2017-03-03,4,3
2017-03-06,4,1
2017-03-07,3,2
2017-03-08,4,4
2017-03-09,6,4
2017-03-10,3,2
2017-03-13,5,3
2017-03-14,15,5
2017-03-15,5,3
2017-03-16,2,1
2017-03-17,2,1
2017-03-20,1,1
2017-03-21,4,3
2017-03-22,2,2
2017-03-23,6,2
2017-03-24,1,1
2017-03-25,3,1
2017-03-28,2,2
2017-03-30,1,1
2017-03-31,2,1
2017-04-03,2,2
2017-04-04,3,2
2017-04-05,4,3
2017-04-06,2,2
2017-04-07,2,2
2017-04-10,5,5
2017-04-11,4,1
2017-04-12,3,1
2017-04-13,2,2
2017-04-14,5,4
2017-04-18,6,5
2017-04-19,4,4
2017-04-20,10,5
2017-04-21,4,2
2017-04-24,1,1
2017-04-25,2,2
2017-04-26,5,3
2017-04-27,4,3
2017-04-28,6,4
2017-05-02,4,3
2017-05-03,3,2
2017-05-04,5,4
2017-05-05,2,1
2017-05-09,5,3
2017-05-10,2,1
2017-05-11,4,2
2017-05-12,4,2
2017-05-15,5,4
2017-05-16,14,3
2017-05-17,4,2
2017-05-18,3,3
2017-05-19,5,3
2017-05-21,3,1
2017-05-22,1,1
2017-05-23,1,1
2017-05-24,2,1
2017-05-30,9,5
2017-05-31,8,5
2017-06-01,3,2
2017-06-02,1,1
2017-06-06,3,2
2017-06-07,9,1
2017-06-08,7,2
2017-06-09,5,4
2017-06-12,3,2
2017-06-13,3,2
2017-06-14,2,2
2017-06-15,2,1
2017-06-16,2,1
2017-06-18,1,1
2017-06-19,3,2
2017-06-20,1,1
2017-06-21,1,1
2017-06-22,5,4
2017-06-23,1,1
2017-06-27,4,3
2017-06-28,6,3
2017-06-29,2,1
2017-06-30,3,2
2017-07-03,1,1
2017-07-05,2,1
2017-07-06,2,2
2017-07-07,1,1
2017-07-11,3,3
2017-07-12,3,2
2017-07-13,3,2
2017-07-17,1,1
2017-07-18,5,3
2017-07-19,2,1
2017-07-20,2,1
2017-07-21,3,3
2017-07-24,3,2
2017-07-25,2,2
2017-07-26,2,1
2017-07-27,3,2
2017-07-28,1,1
2017-07-31,1,1
2017-08-01,3,3
2017-08-02,6,5
2017-08-03,3,3
2017-08-04,3,3
2017-08-07,3,3
2017-08-08,4,2
2017-08-09,1,1
2017-08-10,3,2
2017-08-11,5,4
2017-08-16,3,3
2017-08-17,5,3
2017-08-18,3,3
2017-08-21,1,1
2017-08-22,8,3
2017-08-23,4,1
2017-08-24,5,3
2017-08-28,6,3
2017-08-29,7,4
2017-08-30,1,1
2017-08-31,7,3
2017-09-01,6,2
2017-09-04,2,2
2017-09-05,5,3
2017-09-06,5,3
2017-09-07,6,1
2017-09-08,4,2
